ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesTerritoryKey,SalesOrderNumber,OrderQuantity,SalesAmount
381,20120101,20120113,20120108,16942,7,SO46700,1,1000.4375
375,20120101,20120113,20120108,15114,8,SO46701,1,2181.5625
369,20120101,20120113,20120108,15116,8,SO46702,1,2443.35
337,20120101,20120113,20120108,20576,10,SO46703,1,782.99
370,20120101,20120113,20120108,13059,4,SO46704,1,2443.35
370,20120101,20120113,20120108,13085,1,SO46705,1,2443.35
352,20120101,20120113,20120108,20186,6,SO46706,1,2071.4196
337,20120101,20120113,20120108,15199,4,SO46707,1,782.99
377,20120101,20120113,20120108,21200,9,SO46708,1,2181.5625
387,20120102,20120114,20120109,19172,10,SO46709,1,1000.4375
356,20120102,20120114,20120109,11484,8,SO46710,1,2071.4196
369,20120102,20120114,20120109,13592,7,SO46711,1,2443.35
373,20120102,20120114,20120109,13779,7,SO46712,1,2181.5625
371,20120102,20120114,20120109,24778,6,SO46713,1,2181.5625
368,20120102,20120114,20120109,13093,1,SO46714,1,2443.35
375,20120102,20120114,20120109,24976,6,SO46715,1,2181.5625
375,20120102,20120114,20120109,25046,6,SO46716,1,2181.5625
368,20120102,20120114,20120109,25048,6,SO46717,1,2443.35
360,20120102,20120114,20120109,12570,9,SO46718,1,2049.0982
362,20120103,20120115,20120110,11604,10,SO46719,1,2049.0982
371,20120103,20120115,20120110,13667,7,SO46720,1,2181.5625
370,20120103,20120115,20120110,16046,10,SO46721,1,2443.35
385,20120103,20120115,20120110,17095,7,SO46722,1,1000.4375
368,20120103,20120115,20120110,12918,4,SO46723,1,2443.35
368,20120103,20120115,20120110,28663,6,SO46724,1,2443.35
369,20120103,20120115,20120110,21191,9,SO46725,1,2443.35
373,20120103,20120115,20120110,20999,9,SO46726,1,2181.5625
370,20120103,20120115,20120110,21002,9,SO46727,1,2443.35
358,20120103,20120115,20120110,12354,9,SO46728,1,2049.0982
321,20120103,20120115,20120110,26019,9,SO46729,1,782.99
379,20120104,20120116,20120111,15100,8,SO46730,1,2181.5625
371,20120104,20120116,20120111,15101,8,SO46731,1,2181.5625
385,20120104,20120116,20120111,13992,4,SO46732,1,1000.4375
375,20120104,20120116,20120111,24781,6,SO46733,1,2181.5625
375,20120104,20120116,20120111,13060,4,SO46734,1,2181.5625
371,20120104,20120116,20120111,13226,1,SO46735,1,2181.5625
360,20120104,20120116,20120111,12341,9,SO46736,1,2049.0982
354,20120104,20120116,20120111,12346,9,SO46737,1,2071.4196
362,20120104,20120116,20120111,12576,9,SO46738,1,2049.0982
373,20120105,20120117,20120112,15699,10,SO46739,1,2181.5625
379,20120105,20120117,20120112,12980,1,SO46740,1,2181.5625
370,20120105,20120117,20120112,28766,6,SO46741,1,2443.35
358,20120105,20120117,20120112,20206,6,SO46742,1,2049.0982
373,20120105,20120117,20120112,21183,9,SO46743,1,2181.5625
370,20120105,20120117,20120112,21199,9,SO46744,1,2443.35
369,20120106,20120118,20120113,13056,1,SO46745,1,2443.35
368,20120106,20120118,20120113,13057,4,SO46746,1,2443.35
360,20120106,20120118,20120113,26127,1,SO46747,1,2049.0982
